
------------------------------------------------------------------------------------------------------------------------------------
All maxima | (Original FOM, Second FOM)
Max no. 0 | (4.9206e-04, 4.9206e-04)
Max no. 1 | (3.2916e-04, 3.2916e-04)
Max no. 2 | (3.2679e-04, 3.2679e-04)
Max no. 3 | (3.1662e-04, 3.1662e-04)
Max no. 4 | (2.9168e-04, 2.9168e-04)
Max no. 5 | (2.8899e-04, 2.8899e-04)
Max no. 6 | (2.8678e-04, 2.8678e-04)
Max no. 7 | (2.5950e-04, 2.5950e-04)
Max no. 8 | (2.5438e-04, 2.5438e-04)
Max no. 9 | (2.5436e-04, 2.5436e-04)
Max no. 10 | (2.4199e-04, 2.4199e-04)
Max no. 11 | (2.4111e-04, 2.4111e-04)
Max no. 12 | (2.3800e-04, 2.3800e-04)
Max no. 13 | (2.2956e-04, 2.2956e-04)
Max no. 14 | (2.1790e-04, 2.1790e-04)
Max no. 15 | (2.1709e-04, 2.1709e-04)
Max no. 16 | (2.1664e-04, 2.1664e-04)
Max no. 17 | (2.1527e-04, 2.1527e-04)
Max no. 18 | (2.1056e-04, 2.1056e-04)
Max no. 19 | (2.1011e-04, 2.1011e-04)
Max no. 20 | (2.0977e-04, 2.0977e-04)
Max no. 21 | (2.0725e-04, 2.0725e-04)
Max no. 22 | (2.0050e-04, 2.0050e-04)
Max no. 23 | (1.9932e-04, 1.9932e-04)
Max no. 24 | (1.9902e-04, 1.9902e-04)
Max no. 25 | (1.9901e-04, 1.9901e-04)
Max no. 26 | (1.9068e-04, 1.9068e-04)
Max no. 27 | (1.9035e-04, 1.9035e-04)
Max no. 28 | (1.9031e-04, 1.9031e-04)
Max no. 29 | (1.8795e-04, 1.8795e-04)
Max no. 30 | (1.8622e-04, 1.8622e-04)
Max no. 31 | (1.8435e-04, 1.8435e-04)
Max no. 32 | (1.8367e-04, 1.8367e-04)
Max no. 33 | (1.8343e-04, 1.8343e-04)
Max no. 34 | (1.8264e-04, 1.8264e-04)
Max no. 35 | (1.8221e-04, 1.8221e-04)
Max no. 36 | (1.8150e-04, 1.8150e-04)
Max no. 37 | (1.8050e-04, 1.8050e-04)
Max no. 38 | (1.8000e-04, 1.8000e-04)
Max no. 39 | (1.7929e-04, 1.7929e-04)
Max no. 40 | (1.7871e-04, 1.7871e-04)
Max no. 41 | (1.7768e-04, 1.7768e-04)
Max no. 42 | (1.7728e-04, 1.7728e-04)
Max no. 43 | (1.7652e-04, 1.7652e-04)
Max no. 44 | (1.7564e-04, 1.7564e-04)
Max no. 45 | (1.7461e-04, 1.7461e-04)
Max no. 46 | (1.7386e-04, 1.7386e-04)
Max no. 47 | (1.7315e-04, 1.7315e-04)
Max no. 48 | (1.7314e-04, 1.7314e-04)
Max no. 49 | (1.7244e-04, 1.7244e-04)
Max no. 50 | (1.7141e-04, 1.7141e-04)
Max no. 51 | (1.7120e-04, 1.7120e-04)
Max no. 52 | (1.7109e-04, 1.7109e-04)
Max no. 53 | (1.7106e-04, 1.7106e-04)
Max no. 54 | (1.6994e-04, 1.6994e-04)
Max no. 55 | (1.6977e-04, 1.6977e-04)
Max no. 56 | (1.6970e-04, 1.6970e-04)
Max no. 57 | (1.6954e-04, 1.6954e-04)
Max no. 58 | (1.6843e-04, 1.6843e-04)
Max no. 59 | (1.6815e-04, 1.6815e-04)
Max no. 60 | (1.6737e-04, 1.6737e-04)
Max no. 61 | (1.6617e-04, 1.6617e-04)
Max no. 62 | (1.6541e-04, 1.6541e-04)
Max no. 63 | (1.6453e-04, 1.6453e-04)
Max no. 64 | (1.6355e-04, 1.6355e-04)
Max no. 65 | (1.6354e-04, 1.6354e-04)
Max no. 66 | (1.6342e-04, 1.6342e-04)
Max no. 67 | (1.6273e-04, 1.6273e-04)
Max no. 68 | (1.6248e-04, 1.6248e-04)
Max no. 69 | (1.6243e-04, 1.6243e-04)
Max no. 70 | (1.6118e-04, 1.6118e-04)
Max no. 71 | (1.6050e-04, 1.6050e-04)
Max no. 72 | (1.6005e-04, 1.6005e-04)
Max no. 73 | (1.5970e-04, 1.5970e-04)
Max no. 74 | (1.5800e-04, 1.5800e-04)
Max no. 75 | (1.5520e-04, 1.5520e-04)
Max no. 76 | (1.5508e-04, 1.5508e-04)
Max no. 77 | (1.5345e-04, 1.5345e-04)
Max no. 78 | (1.5191e-04, 1.5191e-04)
Max no. 79 | (1.5064e-04, 1.5064e-04)
Max no. 80 | (1.5042e-04, 1.5042e-04)
Max no. 81 | (1.4915e-04, 1.4915e-04)
Max no. 82 | (1.4785e-04, 1.4785e-04)
Max no. 83 | (1.4763e-04, 1.4763e-04)
Max no. 84 | (1.4692e-04, 1.4692e-04)
Max no. 85 | (1.4679e-04, 1.4679e-04)
Max no. 86 | (1.4616e-04, 1.4616e-04)
Max no. 87 | (1.4539e-04, 1.4539e-04)
Max no. 88 | (1.4466e-04, 1.4466e-04)
Max no. 89 | (1.4445e-04, 1.4445e-04)
Max no. 90 | (1.4281e-04, 1.4281e-04)
Max no. 91 | (1.4281e-04, 1.4281e-04)
Max no. 92 | (1.4256e-04, 1.4256e-04)
Max no. 93 | (1.4030e-04, 1.4030e-04)
Max no. 94 | (1.3917e-04, 1.3917e-04)
Max no. 95 | (1.3882e-04, 1.3882e-04)
Max no. 96 | (1.3873e-04, 1.3873e-04)
Max no. 97 | (1.3833e-04, 1.3833e-04)
Max no. 98 | (1.3805e-04, 1.3805e-04)
Max no. 99 | (1.3663e-04, 1.3663e-04)
Max no. 100 | (1.3611e-04, 1.3611e-04)
Max no. 101 | (1.3607e-04, 1.3607e-04)
Max no. 102 | (1.3597e-04, 1.3597e-04)
Max no. 103 | (1.3569e-04, 1.3569e-04)
Max no. 104 | (1.3527e-04, 1.3527e-04)
Max no. 105 | (1.3487e-04, 1.3487e-04)
Max no. 106 | (1.3462e-04, 1.3462e-04)
Max no. 107 | (1.3383e-04, 1.3383e-04)
Max no. 108 | (1.3324e-04, 1.3324e-04)
Max no. 109 | (1.3289e-04, 1.3289e-04)
Max no. 110 | (1.3278e-04, 1.3278e-04)
Max no. 111 | (1.3275e-04, 1.3275e-04)
Max no. 112 | (1.3265e-04, 1.3265e-04)
Max no. 113 | (1.3156e-04, 1.3156e-04)
Max no. 114 | (1.3087e-04, 1.3087e-04)
Max no. 115 | (1.3084e-04, 1.3084e-04)
Max no. 116 | (1.3053e-04, 1.3053e-04)
Max no. 117 | (1.2978e-04, 1.2978e-04)
Max no. 118 | (1.2973e-04, 1.2973e-04)
Max no. 119 | (1.2960e-04, 1.2960e-04)
Max no. 120 | (1.2844e-04, 1.2844e-04)
Max no. 121 | (1.2830e-04, 1.2830e-04)
Max no. 122 | (1.2791e-04, 1.2791e-04)
Max no. 123 | (1.2783e-04, 1.2783e-04)
Max no. 124 | (1.2753e-04, 1.2753e-04)
Max no. 125 | (1.2746e-04, 1.2746e-04)
Max no. 126 | (1.2664e-04, 1.2664e-04)
Max no. 127 | (1.2660e-04, 1.2660e-04)
Max no. 128 | (1.2610e-04, 1.2610e-04)
Max no. 129 | (1.2599e-04, 1.2599e-04)
Max no. 130 | (1.2589e-04, 1.2589e-04)
Max no. 131 | (1.2540e-04, 1.2540e-04)
Max no. 132 | (1.2531e-04, 1.2531e-04)
Max no. 133 | (1.2479e-04, 1.2479e-04)
Max no. 134 | (1.2461e-04, 1.2461e-04)
Max no. 135 | (1.2442e-04, 1.2442e-04)
Max no. 136 | (1.2441e-04, 1.2441e-04)
Max no. 137 | (1.2384e-04, 1.2384e-04)
Max no. 138 | (1.2367e-04, 1.2367e-04)
Max no. 139 | (1.2307e-04, 1.2307e-04)
Max no. 140 | (1.2306e-04, 1.2306e-04)
Max no. 141 | (1.2294e-04, 1.2294e-04)
Max no. 142 | (1.2267e-04, 1.2267e-04)
Max no. 143 | (1.2263e-04, 1.2263e-04)
Max no. 144 | (1.2162e-04, 1.2162e-04)
Max no. 145 | (1.2152e-04, 1.2152e-04)
Max no. 146 | (1.2132e-04, 1.2132e-04)
